ENTRADA,PATRIMÔNIO,STATUS,SERIAL,CATEGORIA,FABRICANTE,MODELO,LOCAL,SAÍDA,OBSERVAÇÃO
,152,À testar,SBR2008052512930,Memória,Smart,SG564288FG8N6IL-Z2,Estoque,,
,153,À testar,MQ09C300E.X2,Memória,Nanya,NT2GT72U8PD0BV-3C,Estoque,,
,154,À testar,5E+11,Memória,Spectek,PC256M6416U58AB2J-25E,Estoque,,
,155,À testar,302102,Memória,Kingston,,Estoque,,
,156,À testar,M2U51264D28HB3G-5T,Memória,Elixir,,Escritório,,
,157,À testar,2.51044E+14,Memória,,,Escritório,,
,158,À testar,NT5DS16M16BT-75B,Memória,Nanya,,Escritório,,
,159,À testar,013840 00192790 1242,Memória,Kingmax,,Escritório,,
,160,À testar,GKDDR32M8-6,Memória,Sym@x,,Escritório,,
,161,À testar,MD44-K57HA,Memória,PH,,Escritório,,
,162,À testar,MDOEL6G3I41OB1E5Z,Memória,Markvision,,Escritório,,
,163,À testar,AT25D1616T-6 0530,Memória,Infineon,,Escritório,,
,164,À testar,745SS(BLNGC1A16),Memória,Blitz,,Escritório,,
,165,À testar,251115011,Memória,Samsung,,Escritório,,
,166,À testar,547XR (MVBGB1916),Memória,Markvision,,Escritório,,
,167,À testar,431F3H4SS,Memória,LogiSonic,,Escritório,,
,168,À testar,1GBUFURTSLAA,Memória,,,Escritório,,
,169,À testar,AB25D3208 426B2 0547,Memória,,,Escritório,,
,170,À testar,JIL20030704NR,Memória,Infineon,,Escritório,,
,171,À testar,MD43-K57HA,Memória,PH,,Escritório,,
,172,À testar,431F3H4SS,Memória,LogiSonic,,Escritório,,
,173,À testar,431F3H4SS,Memória,LogiSonic,,Escritório,,
,174,À testar,AB25D3208 426B2 0547,Memória,,,Escritório,,
,175,À testar,NC6300,Memória,NCP,,Escritório,,
,176,À testar,M2U51264DS8HB3G-5T,Memória,Elixir,,Escritório,,
,177,À testar,431F3H4SS,Memória,LogiSonic,,Escritório,,
